門市類型,門市名稱,地址,營業時間,座標,電話
經典門市-,台鐵松山店,臺北市信義區松山路11號B1F,"週一～週五  7:30~17:00  
例假日  9:00~17:00","25.049445, 121.578353",(02)2528-1855
經典門市-,台北松德店,臺北市信義區松德路163號,"週一~週五  7:30~18:00
例假日  9:00~17:00","25.036583, 121.574934",(02)2346-7528
經典門市-,新光A8店 B2,臺北市信義區松高路12號,"週日～週四  11:00~21:30  
週五/週六  11:00~22:00","25.038399, 121.566780",(02)2345-9968
經典門市-,莊敬松仁店,臺北市信義區松仁路207-1號,"週一～週五  7:30~18:00
週六～週日  9:00~18:00","25.027381, 121.568538",(02)2758-1010
經典門市-,基隆仁愛店,基隆市仁愛區仁二路155號,"平日  07:00~19:30
假日  09:00-19:00","25.128392, 121.745533",(02)2426-0353
經典門市-,板橋正隆店,新北市板橋區板新路1號,"週一～週五  7:30～17:00    
例假日  8:00～17:00","25.012527, 121.475549",(02)2961-6089 鮮點預做
經典門市-,板橋文化店,新北市板橋區文化路二段402號,"週一~週五  7:30~19:00    
例假日  8:30~18:30","25.031538, 121.473796",(02)2258-6227
經典門市-,汐止遠雄店,新北市汐止區新台五路一段99號B1,週一~週四8:00~21:30週五8:00~22:00週六11:00~22:00週日11:00~21:30,"25.062315, 121.649376",(02)2697-6333
經典門市-,新店民權店,新北市新店區民權路96號1樓,"週一～週五  7:30~19:00    
例假日  8:00~18:00","24.983199, 121.536694",(02)2218-5000
經典門市-,新店安康店,新北市新店區安康路二段105-1號,"平日07:30~18:00
假日08:00~17:00","24.962540, 121.512860",(02)2211-3308
經典門市-,板橋北門店,新北市板橋區北門街6號,"週一～週五  7:30~17:30    
例假日  8:00~17:30","25.010786, 121.457808",(02)2966-6010
經典門市-,新店寶橋店,新北市新店區寶橋路214號,"週一~週五  7:30-16:00
週六~週日  7:30-16:00","24.978443, 121.551188",(02)2912-9970 鮮點預做
經典門市-,永和耕莘店,新北市永和區中興街83號,"週一～週五  7:30~20:00  
例假日  9:00~19:00","25.012168, 121.517285",(02)2920-6888
經典門市-,永和福和店,新北市永和區福和路271號,"週一～週五  7:30~20:00
例假日  7:30~20:00","25.007554, 121.517657",(02)2231-1823
經典門市-,永和中山店,新北市永和區中山路一段220號,"週一~週五  7:30~20:00
例假日  7:30~20:00","25.008583, 121.508180",(02)2231-1119
經典門市-,中和泰和店,新北市中和區泰和街39號1樓,"週一～週五  7:30～17:00    
例假日  8:00～17:00","24.999804, 121.499177",(02)2240-3699
經典門市-,中和員山,新北市中和區員山路182號,"週一、週三~週五  08:00~19:00
例假日  08:00~19:00
每週二公休","25.000498, 121.481379",(02)2228-6055
經典門市-,四號公園店,新北市中和區中安街24號,"平日  07:30~18:00
假日  08:00~19:00","25.003126, 121.513073",(02)2929-6691
經典門市-,雙和醫院店,新北市中和區中正路291號B1F(雙和醫院美食區),"週一~週五  7:30-19:00
週六  7:30-15:30  /  週日公休","24.992823, 121.493642",(02)2240-6898
經典門市-,學成北大店,新北市樹林區大雅路268號,"平日07:30-17:00
假日07:30-18:00","24.946385, 121.380149",(02)2668-3263 鮮點預做
經典門市-,蘆洲長榮店,新北市蘆洲區長榮路201號,"週一～週五  7:30~18:00    
例假日  8:00~18:00","25.084945, 121.460935",(02)8286-3832
經典門市-,淡水新市店,新北市淡水區中山北路二段201號,"週一~週五:  07:30-18:00  (週四公休)
例假日  08:00-18:00","25.185829, 121.444010",(02)2623-9927
經典門市-,竹北縣政店,新竹縣竹北市中崙里光明六路95號,"週一~週五  7:30~17:00    
例假日  8:00~17:00","24.827412, 121.008649",(03)558-5361
經典門市-,竹北文興店,新竹縣竹北市文興路二段523號,"週一～週五  07:30~16:00    
週六~  週日  08:00~16:00","24.807246, 121.036675",(03)5501-957
經典門市-,竹北光明店,新竹縣竹北市光明六路東一段251號,"週一~週五  7:30~17:00
例假日  8:00~17:00","24.820875, 121.027053",(03)668-1515
經典門市-,竹東長春店,新竹縣竹東鎮長春路一段266號,"週一～週五  07:00-19:00
週六~  週日  07:00-19:00","24.735716, 121.089391",03595-5658
經典門市-,中壢九和店,桃園市中壢區九和二街9號,"週一~週五  7:30~20:00
例假日  8:00~20:00","24.963459, 121.223265",(03)427-8858
經典門市-,中壢中央店,桃園市中壢區中央西路一段119號,"週一~週五  7:30~18:00  
例假日  9:00~18:00","24.958044, 121.220136",(03)427-8009
經典門市-,桃園聖保祿店,桃園市桃園區建新街139號,"周一~周五    07:30~19:00
例假日          07:30~18:00","24.981731, 121.311677",(03)361-2035
經典門市-,八德介壽店,桃園市八德區介壽路一段876號,"週一~週五  7:30-18:00
週六~週日  8:00-18:00","24.960530, 121.299430",(03)366-5335 鮮點預做
經典門市-,青埔新生店,桃園市大園區新生路四段271號,"週一~週五  7:00-17:00
週六~週日  8:00-18:00","25.008774, 121.213189",(03)287-5519
經典門市-,苗栗頭份店,苗栗縣頭份市建國路43號,"週一～週五  7:30~19:00  
例假日  9:00~18:00","24.693805, 120.913258",(03)766-1889
經典門市-,台中復興店,臺中市南區區復興路二段92號,"週一～週五  7:30~20:00  
例假日  9:00~19:00","24.122933, 120.662525",(04)2265-1165 鮮點預做
經典門市-,台中民權店,臺中市西區民權路77號,"週一～週五  7:30~18:00  
例假日  9:00~18:00","24.137570, 120.680414",(04)2225-2808 鮮點預做
經典門市-,台中精明店,臺中市西區精誠路74號,"週一～週五  7:30~20:00    
例假日  8:30~18:00","24.156002, 120.655954",(04)2323-0088
經典門市-,台中精誠店,臺中市西區精城路165號1樓,"週一~週五  7:30~21:00  
週六~週日  8:30~21:00","24.149524, 120.655198",(04)2323-8833 鮮點預做
經典門市-,台中河南店,臺中市西屯區河南路二段437號,"週一～週五  7:30~18:00    
例假日  8:30~18:00","24.170469, 120.643356",(04)2452-0909
經典門市-,台中中科店,臺中市西屯區福康路136號,"週一-週五  7:30~17:00
週六  9:00~18:00  /  週日公休","24.187735, 120.618770",(04)2465-0608
經典門市-,台中青海店,臺中市西屯區青海路一段92號,"週一~週五  7:30~18:00  
例假日  9:00~18:00","24.164872, 120.654804",(04)2317-4582
經典門市-,彰化中正店,彰化縣彰化市中正路二段642號,"週一～週五  7:30~17:00  
例假日  8:00~17:00","24.068428, 120.535107",(04)723-8086
經典門市-,彰化彰基店,彰化縣彰化市華北里南校街128號,"週一~五7:30~18:00  
週六、例假日8:00~18:00
每週日店休","24.072459, 120.544595",(04)728-9986
經典門市-,鹿港中山店,彰化縣鹿港鎮中山路375號1樓,"週一~週五  07:00~17:00  
周六日及假日  08:00~17:00","24.058270, 120.431660",(04)778-6505
經典門市-,台南西門店,臺南市中西區西門路一段701號,"週一～週五  7:30~18:00  
例假日  8:00~18:00","22.988150, 120.197337",(06)220-1988 鮮點預做
經典門市-,新營民治店,臺南市新營區民治路312號,"周一~周五  07:30~20:00
例假日  08:00~20:00","23.307102, 120.303704",(06)656-0569 鮮點預做
經典門市-,高雄七賢店,高雄市前金區七賢二路193-3號,"週一~週五  7:30~20:00
例假日  9:00~19:00","22.6328415,120.2952804",(07)285-6566
經典門市-,市府晴朗店(經典),高雄市苓雅區苓雅一路238號,"週一～週五  7:30~18:00  
例假日  9:00~17:00","22.621415, 120.310684",(07)727-1999 鮮點預做
經典門市-,高雄五甲店,高雄市鳳山區五甲二路669號,"週一~週五：07:30  –  18:00
週六~週日：08:00  –  18:00","22.594180, 120.329470",(07)812-0050
經典門市-,高雄光遠店,高雄市鳳山區光遠路342-3號,"週一～週五  7:30~19:00  
例假日  8:00~18:00","22.626317, 120.359313",(07)740-8457
經典門市-,屏東站前店,屏東縣屏東市民族路165號,"週一~週五  7:30~18:00
例假日  9:00~18:00","22.670325, 120.486119",(08)766-7816
經典門市-,屏東菸廠,屏東縣屏東市民生路57巷8號,"平日：07:30~19:00
假日：08:00~19:00","22.663330, 120.505290",(08)723-8333
經典門市-,花蓮中山店,花蓮縣花蓮市中山路150號,"週一～週五  7:30~19:00    
例假日  8:00~19:30","23.977377, 121.609327",(03)833-5667
經典門市-,台東鐵花村,臺東縣臺東市鐵花路254號,"週一~週五：07:30~18:00  
週六~週日：08:00~18:00","22.750930, 121.149044",(08)9330-676 鮮點預做
經典門市-,新竹竹科店,新竹市東區金山八街51號,"週一～週五  7:30  ～  17:00    
例假日  09:00  ～  17:00","24.777762, 121.020617",(03)563-0013
經典門市-,明誠農十六,高雄市鼓山區明誠三路743號,"每週一-週五08:00-18:00
假日08:30-18:00","22.661157, 120.292997",(07)555-5177
經典門市-,高雄文橫店,高雄市前鎮區文橫三路176號,"週一~週五  7:30~18:00
例假日  9:00~18:00","22.613731, 120.307089",(07)333-6766 鮮點預做
經典門市-,十全民族店,高雄市三民區十全一路34號1樓,"週一～週五  7:30~17:00
例假日  9:00~17:00","22.645120, 120.313341",(07)311-5388
經典門市-,高雄明華店,高雄市左營區明華一路205號,"週一~週五  7:30~18:00
例假日  9:00~18:00","22.662973, 120.306154",(07)558-7188 鮮點預做
經典門市-,高雄巨蛋店,高雄市左營區新庄仔路179號1樓,"週一~週五  07:30~19:30  
週六~週日  08:00~18:30","22.670995, 120.303818",(07)341-7550
經典門市-,左營大順店,高雄市左營區大順一路550號,"平日  07:45~17:00  /週六  08:00~17:00
週日/國定假日  公休","22.656701, 120.303761",(07)556-1858
經典門市-,大里國光店,臺中市大里區國光路二段359號,"平日  07:00~18:30
假日  08:00~18:30","24.108483, 120.679966",(04)2407-0129 鮮點預做
經典門市-,新竹巨城店,新竹市東區民生路129號,"週一～週五  7:30~19:30    
例假日  8:00~18:00","24.810496, 120.976752",(03)515-2447
經典門市-,新竹光復店,新竹市東區光復路二段269號,"週一~週五  7:30~18:00
例假日  9:00~18:00","24.800115, 120.990022",(03)571-1500
亮點門市-,嘉義中山店,嘉義市西區中山路441號,"週一～週五  7:30～18:00  
例假日  8:00～18:00","23.479718, 120.446381",(05)225-5518
亮點門市-,豐原北陽店,臺中市豐原區北陽路113號,週一~週日  7:30-17:30,"24.252081, 120.732521",(04)2515-0313
亮點門市-,大甲站前店,臺中市大甲區中山路一段959-1號,"週一~週五  07:00-18:30
週六~週日  08:00-18:30","24.344860, 120.626590",(04)2680-0988 鮮點預做
亮點門市-,新光左營店,高雄市左營區高鐵路115號4樓(左營新光三越彩虹市集),週一  ~  週日    11:00  –  22:00,"22.6878238,120.3092282",07341-0801
亮點門市-,新竹關新店,新竹市東區光復路一段362之19號,"週一~週五  7:30~17:00  
例假日  8:30~18:00","24.784181, 121.016275",(03)666-8088 鮮點預做
亮點門市-,高雄鹽埕店,高雄市鹽埕區五福四路162號,週一~週日  07:30-19:00,"22.623409, 120.284183",(07)521-1737
亮點門市-,高雄義享店(百貨門市),高雄市鼓山區大順一路115號7樓,"週一~週五  11:00~22:00
週六~週日  10:30~22:00","22.656701, 120.306450",(07)556-0611
亮點門市-,台南新市店,臺南市新市區復興路52號,"週一~週五  07:00~19:00      
例假日  08:00~19:00","23.081481, 120.295607",(06)589-1585
亮點門市-,南科銘傳店,臺南市新市區銘傳街128巷2號,"平日  07:00~19:00  
假日  07:00~19:00","23.074516, 120.289368",(06)589-1608
亮點門市-,南投復興店,南投縣南投市復興路192號,"周一~周五  07:30~19:00
週六~週日  08:00~19:00","23.907367, 120.687199",(049)223-0009
亮點門市-,台南民族店,臺南市中西區民族路三段247號,"週一~週五    07:30~19:00
週六~週日    08:00~19:00","22.999580, 120.193200",(06)221-0618
亮點門市-,大墩林新店,臺中市南屯區大墩十一街656號,"週一~週五：07:30  –  19:00  
週六~週日：08:00  –  19:00","24.148973, 120.636777",(04)2255-0887 鮮點預做
亮點門市-,台中大墩店,臺中市南屯區大墩路249號,"週一~週五  7:00~18:00
週六~週日  7:00~18:00","24.142933, 120.649651",(04)2471-2191 鮮點預做
亮點門市-,太平樹孝店(亮點),臺中市太平區樹孝路190號,"週一~週五  07:00~19:00
週六~週日  07:30~19:00","24.152533, 120.717839",(04)2391-2577
亮點門市-,台中中國醫,臺中市北區育德路19號,"週一至五07:00～18:00
週六07:30～16:30  週日08:30～16:30","24.157291, 120.679626",(04)2207-0966
亮點門市-,北屯昌平店,臺中市北屯區昌平路二段8號,"週二~週六  07:30~18:00  
週一、週日固定店休","24.180348, 120.689997",(04)2241-1595
亮點門市-,秋紅谷朝富店,臺中市西屯區朝富路50號,"平日07:30-17:30
例假日  8:00~19:00","24.166538, 120.637267",(04)2252-0661
亮點門市-,台中大魯閣,臺中市東區復興路四段186號B1(美食區中島店鋪),"週一~週五  11:00-22:00
例假日  10:30-22:00","24.136027, 120.687791",422241512
亮點門市-,台中學府店(亮點),臺中市南區學府路210號,"週一~週五  07:30~18:30
週日~週六  08:00~18:30","24.130207, 120.673649",(04)2223-0312 鮮點預做
亮點門市-,桃園大園店,桃園市大園區中正西路27號,"週一～週五  7:00～19:00
例假日  8:00～19:00","25.063437, 121.194907",(03)386-1267
亮點門市-,桃園藝文店,桃園市桃園區中正路997號,"週一~週五  7:30~18:00
例假日  8:00~18:00","25.015123, 121.299306",(03)356-8696
亮點門市-,桃園大有店,桃園市桃園區大有路465號,"星期一、三~五  07:30~18:00  星期二公休
星期六  08:00~18:00  星期日  08:00~17:30","25.012548, 121.318485",(03)358-6838
亮點門市-,八德北青店,桃園市八德區廣興一路42號,"週一~週五  07:30~19:00
週六~週日  08:00~19:00","24.932250, 121.282998",(03)365-6887
亮點門市-,竹科世界店,新竹縣寶山鄉園區三路123號,"週一~週五：07:30  –  18:00
週六~週日：無營業","24.775660, 120.996380",(03)577-1239
亮點門市-,羅東公正店,宜蘭縣羅東鎮公正路157號1樓,"週一～週五  07:30~19:00  
例假日  08:00~19:00","24.678741, 121.769703",(03)9565-561 鮮點預做
亮點門市-,大魯閣湳雅,新竹市北區北區湳雅街91-2號,"平日  07:30-22:00  
假日  07:30-22:00","24.819664, 120.969986",(03)542-7718
亮點門市-,台元科技店(亮點),新竹縣竹北市竹北里台元街26之9號,週一~週五  07:30~18:30,"24.841166, 121.012678",(03)552-5281
亮點門市-,三重集美店,新北市三重區集成路40號,"週一~週五  07:00~18:00
週六~週日  08:00~18:00","25.052894, 121.488907",(02)2972-5115
亮點門市-,三重自強店,新北市三重區自強路一段196號1樓,"平日  07:30~19:00
週六  08:00~20:00、週日  08:00~18:30","25.066441, 121.494653",(02)2982-5108 鮮點預做
亮點門市-,新莊幸福店,新北市新莊區幸福路657號,"週一～週五  07:30~19:00
例假日  08:00~20:00","25.049136, 121.451037",(02)2998-8223 鮮點預做
亮點門市-,新莊中華店,新北市新莊區中華路一段70號,"週一~週五  07:30~18:00      
例假日  08:00~18:00","25.039026, 121.452287",(02)2998-9299 鮮點預做
亮點門市-,新莊新泰店,新北市新莊區復興路一段2號,"週一~週五  07:30~17:30  
例假日  07:30~18:00","25.0413723,121.4456511",022276-6608
亮點門市-,蘆洲集賢店,新北市蘆洲區集賢路409號1F,"週一~週五  7:30～18:00
例假日  7:30～18:00","25.081269, 121.480030",(02)2281-2158 鮮點預做
亮點門市-,中和景安店,新北市中和區景安路214號,"平日07:30-17:00
例假日08:00-17:00","24.990904, 121.503794",(02)2240-0569 鮮點預做
亮點門市-,中和建一店,新北市中和區建一路190之2號,"平日  07:30~17:00  
假日  店休","24.997024, 121.487529",(02)8227-1113
亮點門市-,中和全球店,新北市中和區中正路866之5號1樓,"週一～週五  07:30~19:00  
例假日  08:00~17:00","25.006065, 121.484295",(02)2221-5525 鮮點預做
亮點門市-,三峽大學店,新北市三峽區大學路156-3號,"週一~週五  7:30~18:00    
例假日  8:00~18:00","24.945161, 121.373906",(02)2673-5153
亮點門市-,樹林中山店,新北市樹林區中山路一段180號1樓,週一~週日  07:00-18:00,"24.988879, 121.421755",(02)2681-0368
亮點門市-,新店中正店,新北市新店區中正路525號,"週一~週五  7:30~18:30    
例假日  8:30~18:30","24.985659, 121.533469",(02)2218-2568 鮮點預做
亮點門市-,汐止復興店,新北市汐止區復興路26號,平日/例假日  7:00~19:00,"25.066297, 121.654938",(02)8691-5811
亮點門市-,新店中華店,新北市新店區中華路41號,週一~週日  08:00~17:00,"24.967817, 121.540234",(02)8911-3288 鮮點預做
亮點門市-,板橋莊敬店,新北市板橋區莊敬路201號,週一  ~  週日  08:00  –  17:00,"25.022054, 121.472328",0222567658 鮮點預做
亮點門市-,內湖麗山店,臺北市內湖區內湖路一段405之1號,"周一~周五    07:30  –  18:00
例假日          08:00  –  18:00","25.081760, 121.570700",(02)2658-0689 鮮點預做
亮點門市-,南港環球二店,臺北市南港區忠孝東路七段371號B1-A層(B015櫃位),週一~週日  11:00~21:00,"25.053153, 121.607185",227861365
亮點門市-,南港環球店,臺北市南港區忠孝東路七段371號B1,"週一～週五  07:30~22:00  
週六  ~週日  11:00~22:00","25.053134, 121.607249",(02)2782-5533
亮點門市-,南港玉德店,臺北市南港區玉成街156號1樓,"週一~週五：0730-1830
週六~週日：0800-1900","25.045171, 121.583845",(02)2651-1536 鮮點預做
亮點門市-,長安伊通店,臺北市中山區長安東路二段94號1樓,平日  07:00-19:00  例假日  08:00-19:00,"25.048300, 121.534599",022506-6885 鮮點預做
亮點門市-,南京松江店,臺北市中山區南京東路二段111之2號1樓,"平日  07:30~19:00
假日  08:00~19:00","25.052375, 121.533550",(02)2515-7557 鮮點預做
亮點門市-,南京龍江店,臺北市中山區南京東路三段82號,"平日  07:30~18:00
假日  09:00~18:00","25.051987, 121.539350",(02)2500-0592
亮點門市-,台北天津店,臺北市中山區長安東路一段15號1F,"週一～週五  7:30~19:00    
例假日  9:00~19:00","25.049970, 121.522680",(02)2571-3300
亮點門市-,台大新生南,臺北市大安區新生南路3段76巷1號,"週一～週五  08:00-19:00  
例假日  08:00-19:00","25.019342, 121.533558",(02)2368-3055 鮮點預做
亮點門市-,台北師大店,臺北市大安區台北市大安區師大路11號,"週一～週五  7:30~16:00    
例假日  8:00~16:00","25.025882, 121.528485",(02)2369-6582
亮點門市-,仁愛明曜店,臺北市大安區仁愛路四段151巷23號,"週一~週五：07:00~19:00
週六~週日：08:00~19:00","25.039772, 121.551844",(02)8773-0578 鮮點預做
亮點門市-,台北萬大店,臺北市萬華區萬大路250號,週一~週日(含國定假日)08:30-16:30,"25.026365, 121.500314",022332-1168
亮點門市-,信義家美店,臺北市信義區忠孝東路五段520號,"週一~週六    7:00-20:00
週日    7:00-18:00","25.041260, 121.579156",(02)2726-5200
亮點門市-,勤業眾信店,臺北市信義區松仁路100號19樓,東北角櫃位。週一~週五  08:00~18:00,"25.034688, 121.567826",(02)2722-1505
亮點門市-,信義吳興店,臺北市信義區吳興街42號,"週一～週五    07:30-17:30
週六~    週日    08:00-17:30","25.031442, 121.559932",(02)2736-3123
旗艦門市-,CAMA COFFEE ROASTERS豆留文青,臺北市信義區光復南路133號,"週一~週五  11:30-21:00  
週六~週日  10:00-20:00","25.043798, 121.559340",(02)2765-1008
旗艦門市-,CAMA COFFEE ROASTERS 豆留森林,臺北市士林區格致路70號,"週一～週五  09:00～19:30      
例假日  09:00～20:00","25.138362, 121.546791",(02)2861-1218
,146,,,,
