門市名稱,地址,營業時間,座標,電話,,親子友善空間,手沖體驗門市,座位30席以上,輕食早午餐,手做蛋糕,貝果,免費Wifi,會議型空間租借,高鐵TGO兌換
金城門市,新北市 土城區 明德路一段95號,週一至週日 07:00-21:00,"24.9830152,121.4657144",02-8273-1351,,無,無,有,有,有,有,有,無,無
土城裕民門市,新北市 土城區 裕民路99號,週一至週日 07:00-21:00,"24.9869972,121.4508006",02-2261-0568,,無,無,有,有,有,無,有,無,有
土城頂埔門市(永久歇業),新北市 土城區 中央路四段62之3號,"週一至週五 07:30-20:00
                週六、週日 08:30-17:00","24.9601547,121.4196625",02-2267-5891,,無,無,有,有,有,無,有,無,無
中和概念門市(永久歇業),新北市 中和區 連城路250號1樓 I棟A戶(遠東世紀廣場),未知,"24.9969528,121.487118",02-8227-2468,,無,無,有,有,無,無,有,無,無
中和中和門市,新北市 中和區 中和路55號,週一至週日 07:30-20:30,"25.001275,121.500438",02-2249-8080,,無,無,有,有,有,無,有,無,無
永安市場門市,新北市 中和區 中和路400巷19號,7:00-21:30,"25.0024064,121.5115716",02-2928-7791,,無,無,有,有,有,有,有,無,無
南勢角門市,新北市 中和區 捷運路63號,週一至週日 07:00-21:00,"24.9897838,121.5088369",02-2942-5922,,無,無,有,有,有,有,有,無,無
景平大勇門市,新北市 中和區 大仁街19巷8號,7:30-20:00,"24.9933763,121.5174448",02-2943-1786,,無,無,有,有,有,有,有,無,無
中和建康門市,新北市 中和區 建康路95號,8:00-17:30,"25.000384,121.487844",02-2222-2999,,無,無,有,有,無,無,有,無,無
捷運景安門市,新北市 中和區 景安路175-2號,週一至週日 07:30-20:30,"24.9942319,121.5053694",02-2948-6877,,無,無,有,有,有,有,有,無,無
中和自立門市,新北市 中和區 自立路5號,7:30-20:30,"24.9966402,121.5226221",02-8941-1475,,無,無,有,有,有,無,有,無,無
永和竹林門市,新北市 永和區 竹林路160號,7:00-16:00,"25.0104389,121.520061",02-2924-1113,,無,無,有,有,無,有,有,無,無
永和中山門市,新北市 永和區 中山路一段271號,週一至週日 07:00-16:00,"25.007146,121.5073446",02-8660-8797,,無,無,無,有,無,有,有,無,無
汐科門市,新北市 汐止區 新北市汐止區新台五路一段75號B1 編號03-04店面,"週一至週五 07:30-18:00
               週末 公休","25.0609644,121.6456463",02-8698-1234,,無,無,有,有,有,有,有,無,無
汐止門市,新北市 汐止區 新台五路一段183號,週一至週日 07:00-20:00,"25.0632484,121.6553587",02-2647-0587,,無,無,有,有,有,有,有,無,有
汐止建成直營門市,新北市 汐止區 建成路60號,週一至週日 07:30-21:00,"25.0732711,121.663395",02-8691-9990,,無,無,有,有,有,有,有,無,有
汐止中興門市,新北市 汐止區 中興路226號,"週一至週五 07:30-16:30
週六日、國定假日 08:00-17:00","25.0666362,121.6308427",02-8693-2259,,無,無,有,有,有,有,有,無,無
板橋文化門市,新北市 板橋區 文化路一段309之37號1樓,7:00-22:00,"25.0203978,121.4651436",02-8969-6655,,無,無,有,有,有,有,有,無,無
新板市府門市,新北市 板橋區 新民街43號1樓,週一至週日 07:00-21:00,"25.0108202,121.4638916",02-2963-8380,,無,無,有,有,有,無,有,無,無
江子翠門市,新北市 板橋區 文化路二段367號,"週日至週四 07:30-21:00
               週五、週六 07:30-22:00","25.0310038,121.4730023",02-2254-1717,,無,無,有,有,有,無,有,無,無
亞東醫院門市,新北市 板橋區 南雅南路二段130號,"7:00-18:00
週六7:00-17:00
周日公休","24.9968086,121.4518294",02-8967-6522,,無,無,無,無,無,無,有,無,無
板橋重慶門市,新北市 板橋區 重慶路195號,週一至週日 07:30-19:30,"25.0019658,121.4628866",02-8952-6688,,無,無,有,有,有,有,有,無,無
新海直營門市,新北市 板橋區 雨農路58號,週一至週日 07:00-21:00,"25.0242002,121.4607267",02-2252-5258,,無,無,有,有,有,有,有,無,有
淡水竹圍門市,新北市 淡水區 民權路38號,週一至週日 07:00-22:00,"25.1373543,121.4598137",02-2809-9613,,無,無,有,有,有,有,有,無,無
新店建國門市,新北市 新店區 中正路244號之2,"周二至周五7:30-17:00
週六至週日9:00-19:00","24.973311,121.539621",02-2912-0810,,無,無,無,有,無,無,無,無,無
北新門市,新北市 新店區 北新路一段321號,7:30-20:00,"24.96833453,121.54152959",02-2914-8080,,無,有,有,有,有,有,有,無,無
大坪林門市,新北市 新店區 北新路三段43號,7:30-17:30,"24.9803409,121.541766",02-2910-8110,,無,無,有,有,有,無,有,無,無
新莊立信門市,新北市 新莊區 立信三街12巷18號,"週一至週五 07:00-17:00
               週六日、國定假日 08:00 -18:00","25.0512461,121.4441855",02-2990-1883,,無,無,有,有,有,有,有,無,無
樹林中山門市,新北市 樹林區 中山路一段115號,週一至週日 07:00-20:00,"24.9902999,121.4228168",02-2687-0330,,無,無,有,有,有,有,有,無,無
蘆洲長榮門市,新北市 蘆洲區 長榮路412號,週一至週日 07:00-21:00,"25.0879168,121.4596005",02-8286-0991,,無,無,無,有,有,有,有,無,無
三峽學成門市,新北市 三峽區 學成路325號,7:00-20:00,"24.9452527,121.3771117",02-2671-8870,,無,無,有,有,有,無,有,無,無
瑞金門市,新北市 瑞芳區 明燈路三段65號,週一至週日 7:30-20:00,"25.1082178,121.8056025",02-2497-0057,,無,無,有,有,有,有,有,無,無
金山老街門市,新北市 金山區 中山路184號,週一至週日 06:30-17:00,"25.221402,121.6381266",02-2408-1011,,無,無,有,有,有,無,有,無,無
桃園藝文門市,桃園市 桃園區 中埔六街32號(中正路1115巷內),"週一至週五 07:30-20:00
               週六、週日及例假日 08:00-18:00","25.0165185,121.2963076",03-358-7599,,無,無,有,有,有,有,有,無,無
桃鶯門市,桃園市 桃園區 桃鶯路168-1號1樓,7:00-19:30,"24.9830623,121.3187312",03-376-6860,,無,無,有,有,有,無,有,無,無
桃園縣府門市,桃園市 桃園區 中山路426號,"周一至週五7:00-18:00
周六7:00-17:00
周日7:00-15:00","24.9921548,121.3028951",03-338-0980,,無,無,有,有,無,無,有,無,無
桃園國聖門市,桃園市 桃園區 國聖一街2號,7:00-21:00,"24.9881506,121.2879997",03-3785-506,,無,無,有,有,有,有,有,無,無
林口文興門市,桃園市 龜山區 文興路108號,"7:00-19:00
週六至週日7:00-17:00","25.0580295,121.3647013",03-327-7226,,無,無,有,有,無,無,有,無,無
中壢延平門市,桃園市 中壢區 延平路536號,"週一至週五 07:30-17:30
               週六 08:30-18:30
               週日 08:30-17:30","24.9559569,121.2228732",03-422-2770,,無,無,無,有,無,無,有,無,無
中壢SOGO門市,桃園市 中壢區 元化路303號,週一至週日 07:30-21:00,"24.9622368,121.225239",03-422-4613,,無,無,有,有,有,有,有,無,有
桃園大湳門市,桃園市 八德區 廣福路20巷54號,7:00-17:00,"24.9603689,121.299273",03-361-2489,,無,無,有,有,有,有,有,無,無
新竹遠百門市,新竹市 西區 西大路360號1-3樓,週一至週日 07:00-21:00,"24.8020193,120.965707",03-522-1668,,無,無,有,有,有,有,有,無,無
竹北光明門市,新竹縣 竹北市 光明一路196號,週一至週日 07:00-18:00,"24.830525,121.0159144",03-558-8586,,無,無,有,有,有,無,有,無,無
竹北莊敬門市,新竹縣 竹北市 莊敬五街38號,週一至週日 07:00-21:00,"24.8219942,121.0265854",03-668-2482,,無,無,有,有,無,有,有,無,無
竹北縣政門市,新竹縣 竹北市 縣政九路153號,週一至週日 06:40-20:30,"24.8282208,121.0102504",03-5541-554,,無,無,有,有,無,有,有,無,無
竹北東元門市,新竹縣 竹北市 縣政二路55號,"週一至週日 07:00-18:00
               店休日另行公告","24.8234676,121.0141124",03-553-2181,,無,無,有,有,有,有,有,無,無
竹東長春門市,新竹縣 竹東鎮 長春路三段196號,週一至週日 07:00-21:00,"24.7441396,121.0832422",03-596-9566,,無,無,有,有,無,有,有,無,無
頭份和平門市,苗栗縣 頭份市 和平路107號,週一至週日 07:00-18:00,"24.6856029,120.9059524",037-688-279,,無,無,有,有,有,有,有,無,無
中港門市 (澄清醫院旁),台中市 西屯區 福康路26號,"週一至週五 06:30-16:00
周六及國定假日6:30-13:00
週日 公休","24.1836289,120.6169629",04-2463-8248,,無,無,無,有,無,有,有,無,無
福星公園門市,台中市 西屯區 河南路2段301巷72號,週一至週日 07:15-21:00,"24.1719992,120.6482625",04-2452-9143,,無,無,有,有,有,有,有,無,無
台中大墩門市,台中市 南屯區 大墩路806號,"6:30-18:30
假日7:30-18:30","24.1546224,120.6499576",04-2326-2617,,無,無,有,有,有,有,有,無,無
大甲鎮瀾門市,台中市 大甲區 育德路21號,6:30-20:00,"24.3458415,120.6225207",04-2676-1846,,無,無,有,有,有,有,有,無,無
彰化中興門市,彰化縣 彰化市 中興路136之1號,週一至週日 07:00-17:00,"24.0699929,120.545045",04-7235-886,,無,無,有,有,有,無,有,無,無
鹿港中山門市,彰化縣 鹿港鎮 中山路246號,週一至週日 7:30-18:30,"24.0557296,120.4342709",04-777-3431,,無,無,有,有,有,無,有,無,無
嘉義博愛門市,嘉義市 西區 博愛路二段864號1樓,"周一、周三至周日 6:00-21:00
周二 6:00-18:00","23.4652336,120.4247332",05-283-7218,,無,無,有,有,有,有,有,無,無
民雄頭橋門市,嘉義縣 民雄鄉 福樂村埤角221號,週一至週日 7:00-21:00,"23.5249121,120.4402011",05-221-9908,,無,無,有,有,有,無,有,無,無
台南湖美門市,台南市 中西區 中華西路二段588號1樓,7:00-18:00,"23.0030236,120.1872306",06-358-2300,,無,無,有,有,無,有,有,無,無
台南新光門市,台南市 中西區 永福路一段78號,週一至週日 07:00-18:00,"22.98723001,120.2002708",06-511-5237,,無,無,無,有,無,有,有,無,無
台南永康門市,台南市 永康區 中華二路365號,週一至週日 07:00-19:00,"23.0083096,120.2319187",06-312-1793,,無,無,有,有,有,有,有,無,無
台南中華門市,台南市 永康區 中華路786號,週一至週日7:30-19:00,"23.017795,120.227837",06-302-6688,,無,無,有,有,有,有,有,無,無
高雄文化直營門市,高雄市 苓雅區 廣州一街141號,週一至週日 07:00-21:30,"22.6240391,120.3170544",07-722-5830,,無,無,有,有,有,有,有,無,無
高雄裕誠門市,高雄市 左營區 裕誠路366號,7:30-21:30,"22.66549599,120.3073684",07-557-0199,,無,無,有,有,有,無,有,無,無
高雄河堤門市,高雄市 三民區 明仁路51號,週一至週日 07:00-21:00,"22.6613371,120.3140676",07-359-2613,,無,有,有,有,有,有,有,無,有
宜蘭大學門市,宜蘭縣 宜蘭市 神農路ㄧ段3號,週一至週日7:00-16:00,"24.7469972,121.7492729",03-932-8008,,無,無,有,有,有,無,有,無,無
宜蘭東門夜市門市,宜蘭縣 宜蘭市 和睦路26號,週一至週日 07:00-18:30,"24.75075997,121.75512495",03-9323-181,,無,無,有,有,無,有,有,無,無
宜蘭聖博門市,宜蘭縣 羅東鎮 中正南路135號,週一至週五 07:00-16:00；週六 07:00-15:00；週日 公休,"24.6710932,121.7706235",03-955-7828 / 0905-610-557,,無,無,有,有,有,有,有,無,無
花蓮民國門市,花蓮縣 花蓮市 民國路79-3號,週一至週日 07:00-21:30,"23.9777067,121.6037428",03-833-9229,,無,無,有,有,無,有,有,無,無
新莊中原門市,新北市 新莊區 中原東路127號,週一至週日 7:00-18:00,"25.0542522,121.4612663",02-2277-9613,,無,無,有,有,有,有,有,無,無
劍潭承德門市,台北市 士林區 承德路四段53號,週一至週日 7:00-21:00,"25.0813337,121.5230166",02-2885-3335,,無,無,有,有,有,有,有,無,無
信義松仁門市,台北市 信義區 松仁路242號,週一至週日 07:00-17:00,"25.0246847,121.5693458",02-2758-3848,,無,有,有,有,有,有,有,無,有
高雄小港門市,高雄市 小港區 漢民路616號,週一至週日 7:00-21:00,"22.566755,120.360135",0908-272-302,,無,有,有,有,有,有,有,無,無
新莊思源門市,新北市 新莊區 幸福路536號,7:30-18:00,"25.0494852,121.4555091",02-2998-7177,,無,無,有,有,有,無,有,無,無
芝山直營門市,台北市 士林區 福國路38號,"週一至週五 07:00-20:00
               週六、週日 07:30-20:00","25.10228,121.524103",02-2832-2163,,無,有,有,有,有,有,有,無,有
林口影視門市,新北市 林口區 信義路162號1樓,週一至週日 07:00-18:00,"25.0801856,121.3792111",02-2601-6838,,無,無,有,有,有,有,有,無,無
深坑門市,新北市 深坑區 北深路三段204號,週一至週日 07:00-20:00,"25.0038335,121.6013612",02-2664-9332,,無,無,無,有,有,有,有,無,有
新店佳瑪門市,新北市 新店區 建國路268號,7:00-22:30,"24.983287,121.5376693",02-8911-3838,,無,有,有,有,有,有,有,無,無
大武崙門市,基隆市 安樂區 武嶺街136號,週一至週末 7:00-18:30,"25.1399681,121.7105292",02-2431-5999,,無,無,有,有,有,無,有,無,無
中和捷運門市,新北市 中和區 景平路673號,週一至週日 07:00-21:00,"25.0027369,121.496526",02-8245-1315,,無,無,有,有,有,無,有,無,無
內湖瑞光直營門市,台北市 內湖區 瑞光路431號,"週一至週五 07:30-18:00
               週六、週日與國定假日 公休","25.0788262,121.5704956",02-2799-8377,,無,有,有,有,有,有,有,無,有
新莊昌平門市,新北市 新莊區 昌平街46號,週一至週日 7:00-20:30,"25.0534532,121.4547784",02-2990-6556,,無,無,有,有,有,有,有,無,無
三重自強門市,新北市 三重區 自強路一段236號,週一至週日 07:00-23:00,"25.0669396,121.4933957",02-2988-6766,,無,無,有,有,有,有,有,無,無
北捷x路易莎 聯名 大安森林門市,台北市 大安區 信義路三段100號B1(捷運2號出口右方樓梯下),"週一至週日 07:00-21:00
               營業時間變動提前店內公告","25.0332953,121.5346495",02-2701-5800,,無,無,有,有,有,有,有,無,無
蘆竹南福門市,桃園市 蘆竹區 南福街101號,週一至週日 7:00-21:00,"25.040097,121.2930814",03-2220-255,,無,有,有,有,有,無,有,無,無
中山承德直營門市,台北市 大同區 南京西路65號,週一至週日 07:00-21:00,"25.0531866,121.518946",02-2555-0121,,無,有,有,有,有,有,有,無,有
中壢環中門市,桃園市 中壢區 環中東路234號,週一至週日 7:00-20:00,"24.9625793,121.2553362",03-4613-977,,無,無,有,有,有,無,有,無,無
澎湖馬公門市,澎湖縣 馬公市 仁愛路77號,週一至週日 8:00-22:00,"23.5656219,119.56481",06-9260-258,,無,無,有,有,有,有,有,無,無
南京建國直營門市,台北市 中山區 南京東路二段206號,"週一至週五 07:00-19:00
               週六、週日07:00-16:00","25.0516639,121.5358177",02-2507-9817,,無,有,有,有,有,有,有,無,有
北投社直營門市,台北市 北投區 光明路65號1樓,週一至週日 07:00-21:00,"25.1330077,121.5001395",02-2892-1613,,無,有,有,有,有,有,有,無,有
台南新市門市,台南市 新市區 新和里中正路26號,週一至週日 7:00-17:00,"23.0708303,120.2923395",06-5895-959,,無,無,有,有,有,有,有,無,無
信陽直營門市,台北市 中正區 信陽街5號之2,"週一至週五 07:00-20:00
週六至週日 07:30-20:00","25.044761,121.5166914",02-2311-6191,,無,無,有,有,有,有,有,無,有
瑞安直營門市,台北市 大安區 建國南路二段151巷40號,週一至週日 07:00-21:00,"25.0285752,121.5394736",02-2707-6974,,無,有,有,有,有,有,有,無,有
新竹關新直營門市,新竹市 東區 關新路158號1樓,週一至週日 07:30-21:30,"24.7867084,121.0194175",03-577-0157,,無,有,有,有,有,有,有,有,有
中和復興門市,新北市 中和區 復興路331號,週一至週日 07:30-20:20,"24.9901845,121.5005487",02-2245-5195,,無,無,有,有,有,有,有,無,無
雙和圓通門市,新北市 中和區 圓通路295-2號,週一至週日 07:00-17:00,"24.991887,121.49485101",02-2242-3012,,無,無,有,有,有,有,有,無,無
台南文平門市,台南市 安平區 文平路400號,週一至週日 07:00-21:00,"22.9922529,120.1787488",06-293-0088,,無,無,有,有,有,無,有,無,無
天母東直營門市,台北市 士林區 天母東路8巷31弄2號,"週一至週五 07:00-19:00
週末 07:30-17:00","25.1167556,121.5318337",02-2875-6311,,無,有,有,有,有,有,有,無,有
龍潭北龍門市,桃園市 龍潭區北龍路266號,週一至週日 07:00-21:00,"24.8676855,121.2175106",03-409-1182,,無,無,有,有,有,有,有,無,無
松江長安門市,台北市 中山區 長安東路二段78-1號,"週一至週五 7:00-19:00
假日9:00-18:00","25.0483378,121.5339034",02-2508-3302,,無,無,有,有,有,有,無,無,無
木柵直營門市,台北市 文山區 木柵路三段63號,週一至週日 07:00-21:00,"24.9886876,121.5665695",02-2234-8898,,無,有,有,有,有,有,有,無,有
八德台安門市,台北市 松山區 八德路二段429號,週一至週日 07:00-21:00,"25.0483134,121.5466514",02-2751-6138,,無,無,有,有,有,有,有,無,無
崇善門市,台南市 東區 崇善路172號,週一至週日 6:30-20:00,"22.9803936,120.2232732",06-260-8855,,無,無,有,有,有,無,有,無,無
春日直營門市,桃園市 桃園區 春日路618號,"(1F) 週一至週日 08:00-21:30
               (2F) 週一至週日 10:00-21:00","25.008678,121.3116161",03-356-8965,,無,有,有,有,有,有,有,無,有
小北門市,台南市 北區 立賢路一段39號,週一至週日 07:00-18:00,"23.0092315,120.2062015",06-2525-951,,無,無,有,有,有,有,有,無,無
永和仁愛門市,新北市 永和區 仁愛路110號,週一至週日 7:00-20:00,"25.01320434,121.51185686",02-8923-6066,,無,有,有,有,有,有,有,無,無
竹北成功門市,新竹縣 竹北市 成功五街76號,週一至週日 07:00-21:00,"24.8186261,121.0236101",03-550-9371,,無,有,有,有,有,有,有,無,無
