门市名称,地址,营业时间,座标,附加服务
板橋新海門市,新北市板橋區新海路180號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(25.023667, 121.460857)","Nitro Cold Brew 氮氣冷萃咖啡, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中科門市,新北市中和區建一路152號,星期一、星期二、星期三、星期四、星期五 07:00~20:00，星期六、星期日 08:00~18:00,"(24.998453, 121.48749)",Starbucks Wi-Fi 無線上網
板橋新埔門市,新北市板橋區文化路1段220號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30,"(25.020409, 121.466577)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
立言門市,新北市中和區中正路866號1F,星期一、星期二、星期三、星期四、星期五 07:00~17:00,"(25.005877, 121.484369)",Starbucks Wi-Fi 無線上網
龜山萬壽門市,桃園市龜山區萬壽路二段1202號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(24.993507, 121.331351)","Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
雙和醫院門市,新北市中和區中正路291號,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六 07:00~17:00，星期日 09:00~17:00,"(24.9931046, 121.4936519)",Starbucks Wi-Fi 無線上網
板橋新巨蛋門市,新北市板橋區文化路1段360號,星期一、星期二、星期三、星期四 07:00~21:30，星期五 07:00~22:00，星期六 07:30~22:00，星期日 07:30~21:30,"(25.023677, 121.468595)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
板橋萬板門市,新北市板橋區萬板路32號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~20:00,"(25.022394, 121.472102)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新莊中正門市,新北市新莊區中正路178號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(25.035755, 121.449975)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
桃園美光門市,桃園市龜山區復興三路667號5樓,星期一、星期二、星期三、星期四、星期五 07:30~17:30,"(25.038486, 121.374270)",Starbucks Wi-Fi 無線上網
桃鶯門市,桃園市桃園區桃鶯路192之1號,星期一、星期二、星期三、星期四、星期五 07:00~21:00，星期六、星期日 07:30~21:00,"(24.982345, 121.319076)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中和連城門市,新北市中和區連城路71號1-2樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(25.000891, 121.497340)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
新莊新泰門市,新北市新莊區新泰路308號1-2樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~20:30,"(25.041286, 121.445448)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
板雙門市,新北市板橋區雙十路二段193號 (江子翠捷運站4號出口斜對面),星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(25.028786, 121.473609)","Pour Over 手沖咖啡, Starbucks Reserve™ 典藏咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
中和景安門市,新北市中和區景安路116號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(24.995118, 121.505320)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
泰山明志門市,新北市泰山區明志路2段123號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(25.051330, 121.427918)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
桃園台鐵門市,桃園市桃園區中正路1號2樓,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00,"(24.989065, 121.314042)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
南勢角門市,新北市中和區和平街1號,星期一、星期二、星期三、星期四、星期五 06:30~22:00，星期六、星期日 07:00~22:00,"(24.989656, 121.510222)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
桃園遠百門市,桃園市桃園區中正路20號B1,星期一、星期二、星期三、星期四 10:00~21:30，星期五 10:00~22:00，星期六 09:30~22:00，星期日 09:30~21:30,"(24.989691, 121.313733)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
新莊門市,新北市新莊區幸福路763-3號1F之1,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(25.049019, 121.44759)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
桃園成功門市,桃園市桃園區成功路一段2&2-1號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30,"(24.993147, 121.313210)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
廣達門市,桃園市龜山區文化二路211號1樓 (位於廣達電腦研發總部大樓，需憑該企業員工證件才可進入),星期一、星期二、星期三、星期四、星期五 07:00~17:30,"(25.049962, 121.375278)",
二重門市,新北市三重區重新路五段654號 (新莊IKEA旁的家樂福賣場1樓),星期一、星期二、星期三、星期四、星期五、星期六 10:00~21:00，星期日 09:30~21:00,"(25.043314, 121.467728)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
雙和門市,新北市永和區中山路一段240號1樓,星期一、星期二、星期三、星期四、星期日 07:00~21:30，星期五、星期六 07:00~22:00,"(25.007359, 121.507182)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
桃園春日門市,桃園市桃園區春日路372號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00,"(25.002532, 121.313721)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
八德介壽門市,桃園市八德區介壽路一段728號1樓,星期一、星期三、星期四、星期五、星期六、星期日 08:00~22:00，星期二 08:00~21:30,"(24.964482, 121.298698)","Pour Over 手沖咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
永和永安門市,新北市永和區安樂路248-7號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(25.003641, 121.514651)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
八德大潤發門市,桃園市八德區介壽路2段148號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:30,"(24.953813, 121.297625)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Starbucks Wi-Fi 無線上網"
新莊思源門市,新北市新莊區思源路448號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(25.053522, 121.460172)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, DT Pickup 車道取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Drive-Thru 車道服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
永和愛買門市,新北市永和區民生路46巷50號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(24.996456, 121.521017)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新莊宏匯門市,新北市新莊區新北大道4段3號1樓,星期一、星期二、星期三、星期四、星期日 11:00~21:30，星期五、星期六 11:00~22:00,"(25.059039, 121.449677)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
桃園縣府門市,桃園市桃園區縣府路116號1F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(24.9944869, 121.302027)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
林口門市,桃園市龜山區復興一路202號1樓,星期一、星期二、星期三、星期四、星期五 06:30~21:30，星期六、星期日 06:30~21:00,"(25.057981, 121.365907)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
艋舺門市,台北市萬華區西園路一段306巷24號 & 26號,星期一、星期二、星期三、星期四、星期五 07:00~21:30，星期六、星期日 07:30~21:30,"(25.033516, 121.498408)","Pour Over 手沖咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
萬華西藏門市,台北市萬華區西藏路123號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(25.029578, 121.502478)",Starbucks Wi-Fi 無線上網
永和頂溪門市,新北市永和區永和路二段181號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~22:00,"(25.013361, 121.515339)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
龜山復興門市,桃園市龜山區復興北路1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 06:30~22:00,"(25.059926, 121.368754)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
環球A8門市,桃園市龜山區復興一路8號 (環球購物中心2樓),星期一、星期二、星期三、星期四、星期五 07:00~22:00，星期六、星期日 08:00~22:00,"(25.060606, 121.370260)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
長庚文化門市,桃園市龜山區文化二路11-5號,星期一、星期二、星期三、星期四、星期五 07:00~19:30，星期六、星期日 08:00~18:00,"(25.059392, 121.365413)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
經國門市,桃園市桃園區經國路369號1樓,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:00,"(25.016182, 121.305359)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
新店莊敬門市,新北市新店區中正路542之5號1樓,星期一、星期二、星期三、星期四、星期五 07:00~18:00，星期六 07:30~18:00,"(24.985553, 121.533715)",Starbucks Wi-Fi 無線上網
新店總站門市,新北市新店區北宜路一段2號2F,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(24.957916, 121.537886)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
新店中正門市,新北市新店區中正路265號,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:00~21:00,"(24.974087, 121.538004)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
慈濟門市,新北市新店區建國路289號2樓,星期一、星期二、星期三、星期四、星期五 06:30~21:00，星期六、星期日 07:30~19:30,"(24.986014, 121.535836)",Starbucks Wi-Fi 無線上網
桃興門市,桃園市桃園區大興西路二段76巷6號 (位於桃園醫mall醫療中心),星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:30,"(25.011658, 121.298605)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Outdoor Pickup 店外取餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
西門桂林門市,台北市萬華區桂林路1號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~22:00,"(25.037762, 121.505851)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
桃園藝文門市,桃園市桃園區同德五街61號1樓,星期一、星期二、星期三、星期四、星期五 06:30~22:00，星期六、星期日 07:00~22:00,"(25.014574, 121.299937)","Nitro Cold Brew 氮氣冷萃咖啡, Pour Over 手沖咖啡, Starbucks Reserve™ 典藏咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
新店建國門市,新北市新店區民權路78號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:00~21:00,"(24.983041, 121.537837)","Nitro Cold Brew 氮氣冷萃咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
桃園總圖門市,桃園市桃園區南平路301號,星期一、星期二、星期三、星期四、星期五、星期六、星期日 07:30~21:30,"(25.018161, 121.300401)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
新店北新門市,新北市新店區北新路一段82號(新店區公所捷運站),星期一、星期二、星期三、星期四、星期五 06:30~21:30，星期六、星期日 07:00~21:30,"(24.967416, 121.541633)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
桃愛門市,桃園市桃園區中山路939號 (位於愛買購物中心內),星期一、星期二、星期三、星期四、星期五、星期六、星期日 08:00~21:00,"(24.985106, 121.285594)","Nitro Cold Brew 氮氣冷萃咖啡, Bake-in 新鮮現烤, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
桃園中山門市,桃園市桃園區中山路879號,星期一、星期二、星期三、星期四、星期五 06:30~20:00，星期六、星期日 07:00~20:00,"(24.988813, 121.286601)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
MITSUI門市,新北市林口區文化三路一段356號,星期一、星期二、星期三、星期四 08:00~21:30，星期五、星期六、星期日 08:00~22:00,"(25.069479, 121.365593)","Nitro Cold Brew 氮氣冷萃咖啡, Pour Over 手沖咖啡, Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網"
北新門市(大坪林捷運站),新北市新店區民權路27號(大坪林捷運站),星期一、星期二、星期三、星期四、星期五 06:30~21:30，星期六、星期日 07:00~21:30,"(24.982707, 121.540883)","Mobile Order & Pay 行動預點, Pickup 到店自取, Dine-In Ordering 內用點餐, Borrow & Return a Cup 循環杯租借/歸還服務, Starbucks Wi-Fi 無線上網, Coffee Voucher 紙本飲料劵 / Beverage eCard 星運卡"
